translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
zord,neg,4.324607329842932,2.417525773195876,4,2,2.25933658817867,1.3412167014561602,191,194,neg,kept
bosszúság,neg,5.629032258064516,1.953125,6,2,2.3555575788205814,1.2009214385576192,62,64,neg,kept
fáradt,neg,3.3225806451612905,2.640625,3,2.5,2.109884571066817,1.0891555998271876,62,64,neg,kept
hátrány,neg,5.274193548387097,2.25,6,2,2.218915366693344,1.126872339638022,62,64,neg,kept
lelketlen,neg,4.854838709677419,1.5625,5,1,2.164139735144451,0.7943251103624894,62,64,neg,kept
balszerencse,neg,5.629032258064516,1.859375,6,2,2.2849032046631788,0.8139105582466644,62,64,neg,kept
mozgásképtelen,neg,5.048387096774194,1.59375,5,1,2.18360072128462,0.9380620008615195,62,64,neg,kept
szemét,neg,4.709677419354839,2.296875,5,2,2.1223795551698728,1.1081184897390655,62,64,neg,kept
nyálkás,neg,4.790322580645161,2.359375,5,2,2.057669354615648,1.1036330696300072,62,64,neg,kept
kapzsiság,neg,5.258064516129032,1.84375,6,2,2.0560624780882075,0.8398554297360605,62,64,neg,kept
tuberkulózis,neg,5.370967741935484,1.6875,6,1,2.4105905063088366,0.9407022031018291,62,64,neg,kept
börtöncella,neg,5.258064516129032,1.734375,6,2,2.3042048795445633,0.7609974135909159,62,64,neg,kept
hipertenzió,neg,5.080645161290323,2.859375,5,2.5,2.390544125568001,1.3900689431343565,62,64,neg,kept
májgyulladás,neg,5.629032258064516,1.53125,6,1,2.2992077820788333,0.7760042137015363,62,64,neg,kept
túlhajszolt,neg,5.741935483870968,1.78125,6,2,2.2755686291415973,0.9672206950928381,62,64,neg,kept
nehézség,neg,5.483870967741935,2.828125,6,2,2.0940347397487127,1.5280934017410208,62,64,neg,kept
kihalt,neg,4.67741935483871,1.84375,5,1,2.4878339617544,1.224339796179123,62,64,neg,kept
börtön,neg,5.0236220472440944,1.875968992248062,6,2,2.4639127707230797,1.1110788109000225,127,129,neg,kept
véraláfutás,neg,5.193548387096774,2.8125,5.5,3,2.102603457834833,1.4461223465771633,62,64,neg,kept
koporsó,neg,5.290322580645161,1.765625,6,1,2.688086020128988,1.2816431355818698,62,64,neg,kept
hányinger,neg,6.209677419354839,1.765625,6,2,2.0255506984375318,0.886265349565958,62,64,neg,kept
nyomornegyed,neg,5.725806451612903,1.515625,6,1,2.2844402753762183,0.7344620642412539,62,64,neg,kept
nyálka,neg,4.274193548387097,2.5625,5,2,2.065876980758977,1.3437096247164249,62,64,neg,kept
megbízhatatlan,neg,5.451612903225806,2.203125,6,2,2.35168177948504,1.3354707570205882,62,64,neg,kept
embólia,neg,5.532258064516129,1.828125,6,1,2.3168501931624426,1.2542586186826394,62,64,neg,kept
vesztes,neg,4.935483870967742,2.25,5,2,2.4419218965634255,1.2084359562332876,62,64,neg,kept
koronária,neg,4.661290322580645,2.84375,5,3,2.2098404985620883,1.4930394055974097,62,64,neg,kept
etikátlan,neg,5.483870967741935,2.28125,6,2,2.2231415925340396,1.0906347358231934,62,64,neg,kept
reuma,neg,4.532258064516129,2.015625,5,2,2.2739994516449293,1.188465564004863,62,64,neg,kept
csalódott,neg,5.467741935483871,2.21875,6,2,2.467611455024207,1.0759823861188877,62,64,neg,kept
halotti,neg,5.048387096774194,1.625,6,1,2.411906390775472,0.9172076325837248,62,64,neg,kept
halott,neg,5.612903225806452,1.578125,6,1,2.675663476534662,1.1926319766575235,62,64,neg,kept
gerinctelen,neg,5.629032258064516,1.796875,6,2,2.1971208505062356,1.0263154547693476,62,64,neg,kept
gyomorégés,neg,5.241935483870968,1.984375,5,2,2.1091951994094944,1.240739506830311,62,64,neg,kept
romlás,neg,5.161290322580645,2.203125,5,2,2.2411468696585284,1.157167964650205,62,64,neg,kept
csavargó,neg,5.129032258064516,3,5,3,2.336340637131677,1.3213749452868198,62,64,neg,kept
begyulladt,neg,5.435483870967742,2.015625,6,2,2.2805015823166412,1.0156269078126159,62,64,neg,kept
csúnya,neg,4.5,2.515625,5,2,2.08625478223381,1.2723205583399977,62,64,neg,kept
szar,neg,4.25,2.0923076923076924,5,1,2.1894407490614567,1.7564441789724357,64,65,neg,kept
lépfene,neg,4.484375,1.6923076923076923,4.5,1,2.581940868957624,1.2981125351240368,64,65,neg,kept
tiszteletlen,neg,5.03125,2.046153846153846,5,2,2.1892141809696763,1.1915164868609827,64,65,neg,kept
vérhas,neg,5.15625,1.2153846153846153,5,1,2.437919683039698,0.6493339783074773,64,65,neg,kept
kizár,neg,4.1875,2.3846153846153846,4.5,2,2.1666666666666665,1.432789103596414,64,65,neg,kept
bosszús,neg,4.96875,1.9384615384615385,5,2,2.1452698058012514,1.1302229187880797,64,65,neg,kept
kolonoszkópia,neg,3.71875,2.6,4,2,2.2780439256046243,1.90230123797468,64,65,neg,kept
kényelmetlenség,neg,5.03125,1.8307692307692307,5,2,2.1378579251055267,1.0690128444216476,64,65,neg,kept
ittas,neg,5.125,2.6923076923076925,5,2,2.0431845669452318,1.8618125990137013,64,65,neg,kept
ijesztő,neg,6.03125,2.230769230769231,6,2,2.2953973961711305,1.558938248147906,64,65,neg,kept
penész,neg,4.28125,1.523076923076923,5,1,2.141567071984794,0.93721149406918,64,65,neg,kept
kiábrándító,neg,5.03125,1.8923076923076922,5,1,2.2605572427211498,1.347718870479357,64,65,neg,kept
bűnösség,neg,5.53125,1.8153846153846154,6,1,1.9187359430228066,1.0737246459798784,64,65,neg,kept
