translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
megfigyel,neu,4.382198952879581,4.484536082474227,5,5,2.6067720273001793,1.654721002808904,191,194,neu,kept
rögtön,neu,5.67741935483871,4.890625,6,5,2.5009781270035925,1.6341318504826667,62,64,neu,kept
munkás,neu,4,4.78125,4.5,5,2.008179993239127,1.704045140619767,62,64,neu,kept
újraházasodás,neu,4.983870967741935,4.109375,5,4,2.107690333150196,2.086366839101309,62,64,neu,kept
vérvonal,neu,4.080645161290323,5.21875,4,5,1.977731662223945,1.704045140619767,62,64,neu,kept
példátlan,neu,4.661290322580645,4.671875,5,5,2.072011364510077,1.9764862802137069,62,64,neu,kept
gyártás,neu,3.9516129032258065,4.328125,4,4.5,1.9870681867633961,1.5019002513746926,62,64,neu,kept
másodéves,neu,4.516129032258065,5.171875,5,5,2.109633916528235,1.8649199948795625,62,64,neu,kept
lila,neu,3.2096774193548385,5.03125,3,5,2.073542124823169,2.023424333091315,62,64,neu,kept
tranzakció,neu,4.725806451612903,4.3125,5,5,2.2262911511735743,1.8676443018131794,62,64,neu,kept
hátizsák,neu,3.435483870967742,5.25,3,5,2.069457581122034,1.4692617733849058,62,64,neu,kept
anekdota,neu,3.1451612903225805,4.921875,3,5,1.8002438285997324,1.8283888952793803,62,64,neu,kept
ugrás,neu,5.258064516129032,5.375,5,5,2.2319254634637686,1.6761634196950514,62,64,neu,kept
folyadék,neu,3.306451612903226,5.796875,3,5,2.077109511761432,1.818596070232933,62,64,neu,kept
átmeneti,neu,4.193548387096774,4.046875,4,4,1.9488433701113244,1.3850641782162219,62,64,neu,kept
kezelő,neu,3.8548387096774195,4.546875,4,5,1.9573047225298497,1.446722486305149,62,64,neu,kept
zarándok,neu,4.016129032258065,5.046875,4,5,2.020322450192015,1.6754974385735917,62,64,neu,kept
bábjátékos,neu,3.8225806451612905,5.34375,4,5,2.0527805496918123,1.6923614571324004,62,64,neu,kept
globális,neu,5.145161290322581,4.875,5,5,2.118201945461217,1.685606668612177,62,64,neu,kept
megfigyelő,neu,4.016129032258065,4.9375,4,5,2.2433284366942385,1.3671311638052945,62,64,neu,kept
egészségügyi,neu,5.17741935483871,4.453125,5,4.5,2.02058418389569,1.893427961250294,62,64,neu,kept
választó,neu,4.645161290322581,4.75,5,5,2.1960976880653957,1.2084359562332876,62,64,neu,kept
újságírás,neu,4.258064516129032,5.4375,5,5,2.1111373973580054,1.602329653180118,62,64,neu,kept
ropogtat,neu,4.82258064516129,5.171875,5,5,2.1540978374692594,1.8131327576394942,62,64,neu,kept
hét,neu,3.725806451612903,5.140625,4,5,2.0095620176815925,1.7077525145036827,62,64,neu,kept
változás,neu,5.774193548387097,5.765625,6,5.5,2.3568480955571713,1.4556097015253104,62,64,neu,kept
orrszarvú,neu,4.483870967741935,5.984375,5,6,2.109633916528235,1.57854853463252,62,64,neu,kept
méhlepény,neu,4.693548387096774,4.265625,5,5,2.265845549678388,2.0255682134407587,62,64,neu,kept
egyenlet,neu,4.580645161290323,4.015625,5,4,2.2727782312444886,1.9394990966823744,62,64,neu,kept
sáv,neu,3.725806451612903,4.40625,4,5,2.298747733495952,1.3997590495601009,62,64,neu,kept
kifejezés,neu,3,4.8307692307692305,2,5,2.1528865819918694,1.7371783044749498,64,65,neu,kept
csúcstalálkozó,neu,4.765625,5.061538461538461,5,5,2.8990539644664928,1.9274085830860685,64,65,neu,kept
ágaskodó,neu,4.515625,4.1692307692307695,5,4,2.4429502558138494,1.7903319417187589,64,65,neu,kept
marhaszelet,neu,3.875,4.538461538461538,5,5,2.2852182001336816,2.5561012981010447,64,65,neu,kept
papírkosár,neu,2.484375,4.507692307692308,1,5,1.8429805698792325,1.4803196120588802,64,65,neu,kept
töltő,neu,2.875,5.107692307692307,2,5,2.0039643250000774,1.687482193638248,64,65,neu,kept
navigációs,neu,2.984375,4.8,2.5,5,2.019682416493262,1.61245154965971,64,65,neu,kept
válasz,neu,3.59375,5.753846153846154,3,6,2.6590292416475054,1.811687483663101,64,65,neu,kept
algoritmus,neu,3.1875,4.030769230769231,3,4,2.2598988599366248,2.1284474298273053,64,65,neu,kept
rövidített,neu,2.59375,4.753846153846154,2,5,1.973786547054502,1.9367399253543411,64,65,neu,kept
kozmopolita,neu,3.375,4.523076923076923,3,5,2.0275875100994063,2.1730428860506605,64,65,neu,kept
felújítás,neu,4.65625,5.953846153846154,5,6,2.5462000943827885,2.131832905849222,64,65,neu,kept
járda,neu,2.65625,4.615384615384615,2,5,1.738625163834189,1.3884828466295922,64,65,neu,kept
létesítmény,neu,3.015625,4.6461538461538465,2,5,1.9799966931189317,1.7715703594442809,64,65,neu,kept
megbirkózik,neu,4.5,5.676923076923077,5,6,2.569664297758484,2.12211342406936,64,65,neu,kept
műértő,neu,3.140625,5.2153846153846155,3,5,2.0996385743401516,1.7983699884574962,64,65,neu,kept
állatorvosi,neu,3.6875,4.6461538461538465,4,5,1.9344413901856763,1.6995474510767679,64,65,neu,kept
idegenforgalom,neu,3.609375,5.030769230769231,4,5,2.2011338167783165,1.6952989298464332,64,65,neu,kept
liheg,neu,4.71875,4,5,4,2.319474146754026,1.6863421954040052,64,65,neu,kept
kereplő,neu,4.359375,4.107692307692307,5,4,2.4258344170712927,1.687482193638248,64,65,neu,kept
hegesztő,neu,3.109375,4.369230769230769,3,5,1.960864625456097,1.3983162952416959,64,65,neu,kept
konszolidált,neu,3.21875,4.892307692307693,3,5,1.9878100736460937,1.8801851381835124,64,65,neu,kept
lakáj,neu,2.830769230769231,4.923076923076923,2,5,1.9249125854278322,1.7075905201819856,65,65,neu,kept
mikrofon,neu,3.9384615384615387,5.276923076923077,4,5,2.524114467720085,1.205556047894657,65,65,neu,kept
nevező,neu,3.046153846153846,4.815384615384615,2,5,2.168170089836482,1.43496850675707,65,65,neu,kept
fazék,neu,2.6923076923076925,5.292307692307692,2,5,1.975815313698665,1.747525723371806,65,65,neu,kept
tunkol,neu,3.6153846153846154,4.969230769230769,3,5,2.219883919349076,2.2567207318448737,65,65,neu,kept
bizonyító,neu,4.076923076923077,5.461538461538462,5,5,2.2933851365645905,1.9371122440772104,65,65,neu,kept
geológia,neu,2.8461538461538463,5.030769230769231,2,5,1.9544082322947625,1.478694850717504,65,65,neu,kept
agár,neu,3.523076923076923,5.446153846153846,4,5,2.339255305565296,1.7232851007484336,65,65,neu,kept
láthatatlan,neu,3.7384615384615385,4.753846153846154,3,5,2.360329181735854,1.6586022845943325,65,65,neu,kept
egyesület,neu,3.0923076923076924,5.861538461538461,3,6,1.9261609885588882,1.6476965273234772,65,65,neu,kept
verseny,neu,6.230769230769231,5.538461538461538,7,6,2.2553355540891165,1.6495920241544109,65,65,neu,kept
kóla,neu,3.4153846153846152,5.292307692307692,3,5,2.214245834451228,2.013416537591304,65,65,neu,kept
kanca,neu,3.8923076923076922,4.984615384615385,4,5,2.3259613397144316,1.8327942097749588,65,65,neu,kept
főcím,neu,3.5692307692307694,5.8,3,5,2.2497863146393398,1.724818831066034,65,65,neu,kept
