translation,valence_group,Arousal_mean_rating,Valence_mean_rating,Arousal_median_rating,Valence_median_rating,Arousal_sd_rating,Valence_sd_rating,Arousal_n_rating,Valence_n_rating,new_valence_group,dropped
gyógymód,pos,3.774193548387097,7.09375,3,7,2.5052034689703953,1.724876347074889,62,64,pos,kept
gyümölcs,pos,3.725806451612903,7.34375,3,7.5,2.2555531097221735,1.5141528093817778,62,64,pos,kept
angyal,pos,3.403225806451613,7.171875,3,7.5,2.537971808156119,1.8131327576394942,62,64,pos,kept
bőséges,pos,4,7.21875,4,7,2.0405720830760936,1.4635112160024875,62,64,pos,kept
holdfény,pos,3.5952380952380953,7.48062015503876,3,8,2.5773740789526736,1.474262396048648,126,129,pos,kept
vendégszerető,pos,2.935483870967742,7.75,2,8,1.9907241267729483,1.1818736805705576,62,64,pos,kept
magabiztos,pos,4.338709677419355,7.4375,4,8,2.325507513000026,1.5210167860651846,62,64,pos,kept
kert,pos,3.274193548387097,7.5,2.5,8,2.218915366693344,1.284832148879242,62,64,pos,kept
gondtalan,pos,3.1451612903225805,7.171875,2,8,2.5404709399065726,2.1347814095749165,62,64,pos,kept
napkelte,pos,3.4838709677419355,7.96875,2.5,8,2.6841485842668993,1.2080254123259977,62,64,pos,kept
testvéri,pos,3.564516129032258,7.28125,3,8,2.1241852265715364,1.5062699646309112,62,64,pos,kept
felfedez,pos,6.338709677419355,7.203125,7,7,2.4221894200211076,1.449462817845791,62,64,pos,kept
tökéletes,pos,4.354838709677419,7.453125,4,8,2.6417336891410983,1.6112760874292338,124,128,pos,kept
értékes,pos,4.5,7.375,4,8,2.324142711681513,1.3627702877384937,62,64,pos,kept
sütemény,pos,4.806451612903226,7.578125,4.5,8,2.6663581700632286,1.4007332263598844,62,64,pos,kept
tisztaság,pos,3.064516129032258,7.78125,2,8,2.3738394420130655,1.2014376309040686,62,64,pos,kept
elegáns,pos,3.564516129032258,7.296875,3,7,2.0930875126953397,1.2808688457449497,62,64,pos,kept
